[BD]rtv 1,rtmp://212.200.230.50:1935/RTV/rtv1
[HD]dazn1,rtmp://f13h.mine.nu/sat/tv731
[HD]momo綜合,rtmp://f13h.mine.nu:1935/sat/tv761
[HD]momo综合,rtmp://f13h.mine.nu/sat/tv761
[BD]siping tv,https://t.freetv.fun/live/siping-tv.m3u8
[VGA]中天新闻,rtmp://vip.huahong.pro/live/xingjiaoge-ztxw2
[VGA]中天新闻,rtmp://demo2.anj365.com/live/xiangjiaoge-ztxw
[HD]中视,rtmp://f13h.mine.nu/sat/tv091
[BD]白山新闻综合,https://t.freetv.fun/live/bai-shan-xin-wen-zong-he.m3u8
[BD]四平新闻综合,https://t.freetv.fun/live/si-ping-xin-wen-zong-he.m3u8
[HD]台视,rtmp://f13h.mine.nu/sat/tv071
[HD]台视,rtmp://f13h.mine.nu:1935/sat/tv071
[HD]东森超视,rtmp://f13h.mine.nu/sat/tv331
[HD]民視,rtmp://f13h.mine.nu/sat/tv051
[BD]浙江教科,https://t.freetv.fun/live/zhe-jiang-jiao-ke.m3u8
[BD]浙江新闻,https://t.freetv.fun/live/zhe-jiang-xin-wen.m3u8
[BD]浙江民生,https://t.freetv.fun/live/zhe-jiang-min-sheng.m3u8
[BD]浙江钱江,https://t.freetv.fun/live/zhe-jiang-qian-jiang.m3u8
[HD]纬来日本,rtmp://f13h.mine.nu/sat/tv771
[HD]緯來育樂,rtmp://f13h.mine.nu/sat/tv701
[HD]纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721
[HD]纬来体育,rtmp://f13h.mine.nu/sat/tv721
[HD]华视,rtmp://f13h.mine.nu/sat/tv111
[HD]长春综合,https://t.freetv.fun/live/chang-chun-zong-he.m3u8
[HD]非凡新聞,rtmp://f13h.mine.nu/sat/tv581
